year,month,scope,rainfall_mm,source,normal_mean_mm,anomaly_mm,anomaly_pct,period
2000,4,carbon_project_zone,281.5721,UCSB-CHG/CHIRPS/DAILY,295.0304,-13.4583,-4.5617,1996-2025
2000,5,carbon_project_zone,236.6304,UCSB-CHG/CHIRPS/DAILY,246.7391,-10.1087,-4.0969,1996-2025
2000,6,carbon_project_zone,258.1571,UCSB-CHG/CHIRPS/DAILY,195.4185,62.7386,32.1047,1996-2025
2000,7,carbon_project_zone,122.6090,UCSB-CHG/CHIRPS/DAILY,134.0310,-11.4220,-8.5219,1996-2025
2000,8,carbon_project_zone,231.2235,UCSB-CHG/CHIRPS/DAILY,104.2049,127.0186,121.8931,1996-2025
2000,9,carbon_project_zone,196.1340,UCSB-CHG/CHIRPS/DAILY,115.3072,80.8268,70.0969,1996-2025
2000,10,carbon_project_zone,242.8050,UCSB-CHG/CHIRPS/DAILY,222.4467,20.3583,9.1520,1996-2025
2000,11,carbon_project_zone,304.3002,UCSB-CHG/CHIRPS/DAILY,266.0786,38.2216,14.3648,1996-2025
2000,12,carbon_project_zone,296.8461,UCSB-CHG/CHIRPS/DAILY,313.3270,-16.4809,-5.2600,1996-2025
2001,1,carbon_project_zone,244.1352,UCSB-CHG/CHIRPS/DAILY,262.9213,-18.7861,-7.1451,1996-2025
2001,2,carbon_project_zone,189.0958,UCSB-CHG/CHIRPS/DAILY,265.2713,-76.1755,-28.7161,1996-2025
2001,3,carbon_project_zone,336.7588,UCSB-CHG/CHIRPS/DAILY,321.3425,15.4163,4.7975,1996-2025
2001,4,carbon_project_zone,336.9805,UCSB-CHG/CHIRPS/DAILY,295.0304,41.9501,14.2189,1996-2025
2001,5,carbon_project_zone,278.6934,UCSB-CHG/CHIRPS/DAILY,246.7391,31.9543,12.9506,1996-2025
2001,6,carbon_project_zone,210.3249,UCSB-CHG/CHIRPS/DAILY,195.4185,14.9064,7.6279,1996-2025
2001,7,carbon_project_zone,132.1623,UCSB-CHG/CHIRPS/DAILY,134.0310,-1.8687,-1.3942,1996-2025
2001,8,carbon_project_zone,19.8714,UCSB-CHG/CHIRPS/DAILY,104.2049,-84.3335,-80.9305,1996-2025
2001,9,carbon_project_zone,236.6569,UCSB-CHG/CHIRPS/DAILY,115.3072,121.3497,105.2403,1996-2025
2001,10,carbon_project_zone,359.4747,UCSB-CHG/CHIRPS/DAILY,222.4467,137.0280,61.6004,1996-2025
2001,11,carbon_project_zone,240.9791,UCSB-CHG/CHIRPS/DAILY,266.0786,-25.0995,-9.4331,1996-2025
2001,12,carbon_project_zone,286.8357,UCSB-CHG/CHIRPS/DAILY,313.3270,-26.4913,-8.4548,1996-2025
2002,1,carbon_project_zone,219.6791,UCSB-CHG/CHIRPS/DAILY,262.9213,-43.2422,-16.4468,1996-2025
2002,2,carbon_project_zone,283.2041,UCSB-CHG/CHIRPS/DAILY,265.2713,17.9328,6.7602,1996-2025
2002,3,carbon_project_zone,324.0536,UCSB-CHG/CHIRPS/DAILY,321.3425,2.7111,0.8437,1996-2025
2002,4,carbon_project_zone,322.3841,UCSB-CHG/CHIRPS/DAILY,295.0304,27.3537,9.2715,1996-2025
2002,5,carbon_project_zone,150.9961,UCSB-CHG/CHIRPS/DAILY,246.7391,-95.7430,-38.8033,1996-2025
2002,6,carbon_project_zone,244.9864,UCSB-CHG/CHIRPS/DAILY,195.4185,49.5679,25.3650,1996-2025
2002,7,carbon_project_zone,19.8751,UCSB-CHG/CHIRPS/DAILY,134.0310,-114.1559,-85.1713,1996-2025
2002,8,carbon_project_zone,15.7178,UCSB-CHG/CHIRPS/DAILY,104.2049,-88.4871,-84.9164,1996-2025
2002,9,carbon_project_zone,32.1175,UCSB-CHG/CHIRPS/DAILY,115.3072,-83.1897,-72.1461,1996-2025
2002,10,carbon_project_zone,111.9531,UCSB-CHG/CHIRPS/DAILY,222.4467,-110.4936,-49.6719,1996-2025
2002,11,carbon_project_zone,242.0451,UCSB-CHG/CHIRPS/DAILY,266.0786,-24.0335,-9.0325,1996-2025
2002,12,carbon_project_zone,297.0658,UCSB-CHG/CHIRPS/DAILY,313.3270,-16.2612,-5.1898,1996-2025
2003,1,carbon_project_zone,295.3354,UCSB-CHG/CHIRPS/DAILY,262.9213,32.4141,12.3284,1996-2025
2003,2,carbon_project_zone,271.3751,UCSB-CHG/CHIRPS/DAILY,265.2713,6.1038,2.3010,1996-2025
2003,3,carbon_project_zone,224.1688,UCSB-CHG/CHIRPS/DAILY,321.3425,-97.1737,-30.2399,1996-2025
2003,4,carbon_project_zone,349.7238,UCSB-CHG/CHIRPS/DAILY,295.0304,54.6934,18.5382,1996-2025
2003,5,carbon_project_zone,118.0558,UCSB-CHG/CHIRPS/DAILY,246.7391,-128.6833,-52.1536,1996-2025
2003,6,carbon_project_zone,86.2241,UCSB-CHG/CHIRPS/DAILY,195.4185,-109.1944,-55.8772,1996-2025
2003,7,carbon_project_zone,51.8052,UCSB-CHG/CHIRPS/DAILY,134.0310,-82.2258,-61.3483,1996-2025
2003,8,carbon_project_zone,55.2715,UCSB-CHG/CHIRPS/DAILY,104.2049,-48.9334,-46.9588,1996-2025
2003,9,carbon_project_zone,81.9131,UCSB-CHG/CHIRPS/DAILY,115.3072,-33.3941,-28.9610,1996-2025
2003,10,carbon_project_zone,342.9876,UCSB-CHG/CHIRPS/DAILY,222.4467,120.5409,54.1887,1996-2025
2003,11,carbon_project_zone,291.2708,UCSB-CHG/CHIRPS/DAILY,266.0786,25.1922,9.4680,1996-2025
2003,12,carbon_project_zone,447.5838,UCSB-CHG/CHIRPS/DAILY,313.3270,134.2568,42.8488,1996-2025
2004,1,carbon_project_zone,341.0501,UCSB-CHG/CHIRPS/DAILY,262.9213,78.1288,29.7157,1996-2025
2004,2,carbon_project_zone,202.7175,UCSB-CHG/CHIRPS/DAILY,265.2713,-62.5538,-23.5811,1996-2025
2004,3,carbon_project_zone,280.8702,UCSB-CHG/CHIRPS/DAILY,321.3425,-40.4723,-12.5948,1996-2025
2004,4,carbon_project_zone,291.9680,UCSB-CHG/CHIRPS/DAILY,295.0304,-3.0624,-1.0380,1996-2025
2004,5,carbon_project_zone,234.7605,UCSB-CHG/CHIRPS/DAILY,246.7391,-11.9786,-4.8548,1996-2025
2004,6,carbon_project_zone,103.3725,UCSB-CHG/CHIRPS/DAILY,195.4185,-92.0460,-47.1020,1996-2025
2004,7,carbon_project_zone,176.9102,UCSB-CHG/CHIRPS/DAILY,134.0310,42.8792,31.9920,1996-2025
2004,8,carbon_project_zone,18.1177,UCSB-CHG/CHIRPS/DAILY,104.2049,-86.0872,-82.6134,1996-2025
2004,9,carbon_project_zone,98.5118,UCSB-CHG/CHIRPS/DAILY,115.3072,-16.7954,-14.5658,1996-2025
2004,10,carbon_project_zone,76.0183,UCSB-CHG/CHIRPS/DAILY,222.4467,-146.4284,-65.8263,1996-2025
2004,11,carbon_project_zone,147.7489,UCSB-CHG/CHIRPS/DAILY,266.0786,-118.3297,-44.4717,1996-2025
2004,12,carbon_project_zone,307.7944,UCSB-CHG/CHIRPS/DAILY,313.3270,-5.5326,-1.7658,1996-2025
2005,1,carbon_project_zone,176.6420,UCSB-CHG/CHIRPS/DAILY,262.9213,-86.2793,-32.8156,1996-2025
